UserId,User_AvgRating,User_VisitCount
14,4.666666666666667,3
16,4.7,10
20,4.0,1
23,5.0,1
25,5.0,1
26,5.0,1
27,4.0,1
28,5.0,1
29,5.0,1
32,4.0,1
33,4.0,1
34,4.0,1
37,4.0,1
39,4.0,1
42,4.0,1
48,3.0,1
51,5.0,1
52,3.0,1
54,3.0,1
56,1.0,1
57,3.0,1
59,4.0,2
60,5.0,1
61,5.0,2
65,5.0,1
67,4.0,2
70,5.0,1
72,5.0,1
79,3.0,1
83,5.0,1
85,5.0,2
90,5.0,3
92,5.0,2
94,5.0,1
97,5.0,1
98,3.0,1
102,3.0,1
103,4.666666666666667,3
112,5.0,1
113,4.0,1
116,2.0,1
117,4.0,1
118,5.0,1
119,5.0,1
122,5.0,1
125,4.0,2
129,4.5,2
131,4.0,1
133,5.0,1
137,4.0,2
139,5.0,1
142,4.0,1
147,3.6666666666666665,3
149,3.0,1
152,5.0,1
153,3.0,1
154,5.0,1
155,2.0,1
156,4.0,1
157,5.0,1
158,5.0,1
160,3.0,2
162,5.0,1
166,3.0,1
170,2.0,1
176,4.0,1
177,5.0,1
180,5.0,1
182,4.0,1
183,4.666666666666667,3
184,5.0,1
185,1.0,1
187,4.0,1
189,3.0,1
190,5.0,1
191,5.0,1
192,3.5,2
194,4.166666666666667,6
196,3.0,2
199,4.0,1
200,5.0,1
208,5.0,1
213,5.0,1
218,5.0,1
228,4.333333333333333,3
230,4.0,3
231,5.0,2
234,5.0,1
239,5.0,1
240,4.5,2
242,4.0,1
247,2.0,2
249,4.0,3
255,4.0,1
256,5.0,1
266,3.857142857142857,7
267,5.0,1
268,4.0,1
269,4.5,2
271,3.0,1
272,5.0,1
274,5.0,2
276,5.0,2
277,5.0,1
279,5.0,1
286,4.0,2
288,4.0,1
296,4.0,1
302,3.0,1
303,4.0,1
315,4.0,1
316,1.0,1
317,4.0,2
319,5.0,1
320,4.5,2
327,3.0,1
328,5.0,1
336,3.0,1
337,5.0,1
339,4.0,5
340,4.0,1
341,4.5,2
346,5.0,1
348,5.0,1
349,5.0,1
351,4.0,1
356,5.0,1
359,5.0,1
361,5.0,2
365,2.0,1
369,4.0,1
378,4.5,2
382,4.4,5
386,4.0,3
388,5.0,1
390,5.0,1
393,4.0,1
396,3.0,1
397,4.0,2
399,4.0,4
404,4.5,2
408,4.8,5
410,5.0,1
418,4.0,1
419,5.0,2
421,5.0,1
422,5.0,1
425,2.3333333333333335,3
426,2.0,1
430,4.75,4
432,4.5,2
433,4.0,1
435,4.0,1
442,4.0,2
444,5.0,2
445,4.0,1
446,5.0,2
447,4.0,1
455,4.0,1
456,5.0,1
459,4.5,4
462,4.5,2
464,5.0,1
470,5.0,1
476,2.0,1
478,5.0,1
480,3.2,5
484,5.0,1
485,5.0,1
488,5.0,1
490,5.0,1
494,5.0,1
501,5.0,2
503,4.0,1
511,5.0,1
512,2.0,1
515,5.0,1
516,5.0,1
517,5.0,1
518,4.0,1
521,2.0,1
525,5.0,1
527,3.5,2
528,4.5,2
542,3.0,1
545,5.0,1
550,4.0,1
554,4.5,2
565,4.0,1
568,3.875,8
571,5.0,1
572,4.0,1
574,4.0,2
577,3.3333333333333335,3
580,5.0,1
581,5.0,2
583,4.666666666666667,3
584,4.0,1
585,5.0,3
590,5.0,1
594,5.0,1
595,3.0,1
597,5.0,2
603,3.0,2
620,2.0,1
621,4.5,2
625,1.0,1
627,5.0,3
630,5.0,1
633,4.0,2
636,5.0,1
637,5.0,1
638,4.0,2
640,5.0,1
646,4.0,1
648,3.0,1
649,5.0,1
652,4.0,1
655,4.333333333333333,3
656,4.0,4
657,4.333333333333333,3
659,5.0,1
664,4.0,2
667,3.75,4
669,5.0,1
678,3.0,1
679,5.0,1
683,5.0,3
688,2.0,1
689,3.0,4
690,4.0,1
691,5.0,1
694,4.666666666666667,3
697,4.0,2
698,5.0,1
706,4.0,2
708,4.5,2
716,5.0,2
